title,year,original_release_date_parsed,domestic_gross,international_gross,worldwide_gross,production_budget,profit_proxy,roi_proxy,tomatometer_rating,tomatometer_count,genres,runtime,directors,lead_actor,lead_actor_has_oscar,lead_actor_tier,lead_actor_status,star_power_score,is_animated,is_live_action,is_franchise,is_sequel,is_standalone,lead_actor_clean
Star Wars: Episode VII - The Force Awakens,2015,2015-12-18,936662225,1131561399,2068223624,533000000,1535223624,2.88034451,92,437,"Action & Adventure, Science Fiction & Fantasy",136,J.J. Abrams,Daisy Ridley John Boyega Harrison Ford Oscar Issac Adam Driver,0,A,well_known,69.87783595,0,1,1,1,0,daisy ridley john boyega harrison ford oscar issac adam driver
Jurassic World,2015,2015-06-12,652270625,1018130012,1670400637,150000000,1520400637,10.13600425,70,351,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",124,Colin Trevorrow,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,0,A,well_known,69.63350785,0,1,1,0,0,chris pratt bryce dallas howard irrfan khan vincent d'onofrio nick robinson
Furious 7,2015,2015-04-03,353007020,1162040651,1515047671,190000000,1325047671,6.973935111,82,272,"Action & Adventure, Mystery & Suspense",137,James Wan,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,0,A,well_known,69.38917976,0,1,0,1,0,vin diesel paul walker dwayne johnson michelle rodriguez tyrese gibson
Avengers: Age of Ultron,2015,2015-05-01,459005868,943800000,1402805868,280000000,1122805868,4.010020957,76,367,"Action & Adventure, Science Fiction & Fantasy",141,Joss Whedon,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,0,A,well_known,69.14485166,0,1,1,0,0,robert downey jr. chris hemsworth mark ruffalo chris evans scarlett johansson
Minions,2015,2015-07-10,336045770,823352627,1159398397,74000000,1085398397,14.66754591,55,221,"Animation, Comedy, Kids & Family",91,"Pierre Coffin, Kyle Balda",Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,0,A,well_known,68.41186736,1,0,0,0,1,sandra bullock jon hamm michael keaton allison janney steve coogan
Spectre,2015,2015-11-06,200074609,680600000,880674609,245000000,635674609,2.594590241,63,359,Action & Adventure,148,Sam Mendes,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,0,A,well_known,66.82373473,0,1,0,0,1,daniel craig christoph waltz l\u00e9a seydoux ralph fiennes monica bellucci
Inside Out,2015,2015-06-19,356461711,501832719,858294430,175000000,683294430,3.9045396,98,370,"Animation, Kids & Family",95,"Pete Docter, Ronnie del Carmen",Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,0,A,well_known,66.21291449,1,0,0,0,1,amy poehler phyllis smith richard kind bill hader lewis black
The Hunger Games: Mockingjay - Part 2,2015,2015-11-20,281723902,371704359,653428261,160000000,493428261,3.083926631,69,288,"Action & Adventure, Drama, Science Fiction & Fantasy",136,Francis Lawrence,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,0,A,well_known,64.2582897,0,1,0,1,0,jennifer lawrence josh hutcherson liam hemsworth woody harrelson elizabeth banks
The Martian,2015,2015-10-02,228433663,401728227,630161890,108000000,522161890,4.834832315,91,374,Science Fiction & Fantasy,142,Ridley Scott,Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael Pe\u00f1a,0,A,well_known,63.89179756,0,1,0,0,1,matt damon jessica chastain kristen wiig jeff daniels michael pe\u00f1a
Fifty Shades of Grey,2015,2015-02-13,166167230,403484237,569651467,40000000,529651467,13.24128668,25,280,Romance,125,Sam Taylor-Johnson,Dakota Johnson Jamie Dornan Jennifer Ehle Eloise Mumford Victor Rasuk,0,A,well_known,63.15881326,0,1,0,0,1,dakota johnson jamie dornan jennifer ehle eloise mumford victor rasuk
