title,year,original_release_date_parsed,domestic_gross,international_gross,worldwide_gross,production_budget,profit_proxy,roi_proxy,tomatometer_rating,tomatometer_count,genres,runtime,directors,lead_actor,lead_actor_has_oscar,lead_actor_tier,lead_actor_status,is_animated,is_live_action,is_franchise,is_sequel,is_standalone
Star Wars: Episode VII - The Force Awakens,2015,2015-12-18,936662225.0,1131561399.0,2068223624.0,,,,92.0,437.0,"Action & Adventure, Science Fiction & Fantasy",136.0,J.J. Abrams,,0,,,0,1,1,1,0
Jurassic World,2015,2015-06-12,652270625.0,1018130012.0,1670400637.0,150000000.0,1520400637.0,10.136004246666667,70.0,351.0,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",124.0,Colin Trevorrow,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,0,A,well_known,0,1,1,0,0
Furious 7,2015,2015-04-03,353007020.0,1162040651.0,1515047671.0,190000000.0,1325047671.0,6.973935110526316,82.0,272.0,"Action & Adventure, Mystery & Suspense",137.0,James Wan,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,0,A,well_known,0,1,0,1,0
Avengers: Age of Ultron,2015,2015-05-01,459005868.0,943800000.0,1402805868.0,280000000.0,1122805868.0,4.010020957142857,76.0,367.0,"Action & Adventure, Science Fiction & Fantasy",141.0,Joss Whedon,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,0,A,well_known,0,1,1,0,0
Minions,2015,2015-07-10,336045770.0,823352627.0,1159398397.0,74000000.0,1085398397.0,14.667545905405406,55.0,221.0,"Animation, Comedy, Kids & Family",91.0,"Pierre Coffin, Kyle Balda",Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,0,A,well_known,1,0,0,0,1
Spectre,2015,2015-11-06,200074609.0,680600000.0,880674609.0,245000000.0,635674609.0,2.5945902408163266,63.0,359.0,Action & Adventure,148.0,Sam Mendes,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,0,A,well_known,0,1,0,0,1
Inside Out,2015,2015-06-19,356461711.0,501832719.0,858294430.0,175000000.0,683294430.0,3.9045396,98.0,370.0,"Animation, Kids & Family",95.0,"Pete Docter, Ronnie del Carmen",Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,0,A,well_known,1,0,0,0,1
The Hunger Games: Mockingjay - Part 2,2015,2015-11-20,281723902.0,371704359.0,653428261.0,160000000.0,493428261.0,3.08392663125,69.0,288.0,"Action & Adventure, Drama, Science Fiction & Fantasy",136.0,Francis Lawrence,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,0,A,well_known,0,1,0,1,0
The Martian,2015,2015-10-02,228433663.0,401728227.0,630161890.0,108000000.0,522161890.0,4.834832314814815,91.0,374.0,Science Fiction & Fantasy,142.0,Ridley Scott,Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael Pe\u00f1a,0,A,well_known,0,1,0,0,1
Fifty Shades of Grey,2015,2015-02-13,166167230.0,403484237.0,569651467.0,40000000.0,529651467.0,13.241286675,25.0,280.0,Romance,125.0,Sam Taylor-Johnson,Dakota Johnson Jamie Dornan Jennifer Ehle Eloise Mumford Victor Rasuk,0,A,well_known,0,1,0,0,1
